Rank,Hebrew,English,Pronunciation
8673,למחות,to protest / to wipe,limkhot
8674,לתפקד,to function,letafked
8675,לעבודת,to/for the work of / for the worship of,le'avodat
8676,להחלטה,to a decision,lehakhlata
8676,להחלטה,to the decision,lahakhlata
8677,תיאום,coordination,te'um
8678,תרגילי,exercises of / drills of / maneuvers of,targilei
8679,והפיכת,and the revolution of / and the conversion of / and the turning of / and the inversion of,vehafikhat
8680,והעשירים,and the rich (m.pl.),veha'ashirim
8681,שמחוץ,the is outside of,shemikhuts
8682,שלימים,that subsequently / that later on,sheleyamim
8683,שפעלה,that/who acted / that/who operated (f.s.),shepa'ala
8684,שאורכו,which length is,she'orko
8685,שהונהגה,"that was led / that was introduced (a system, a procedure etc.)",shehunhaga
8686,שניתנה,that was given (f.s.),shenitna
8687,פחתה,was reduced (f.s.),pakhata
8688,פרסמו,published / advertised (pl.),pirsemu
8689,פנימיות,immanence,pnimiyut
8689,פנימיות,internal (f.pl.),pnimiyot
8690,עליונה,upper / superior (f.s.),elyona
8691,ענייני,matters of,inyanei
8691,ענייני,my concern,inyani
8692,חפים,innocent / pure (m.pl.),khapim
8693,אפשרו,enabled / facilitated (pl.),ifsheru
8694,כוונתו,his intention / he means,kavanato
8695,הממשלות,the governments,hamemshalot
8696,המפרץ,the bay,hamifrats
8697,המזוין,the armed (m.s.),hamezuyan
8698,המחאות,checks (n.),hamkha'ot
8698,המחאות,the protests,hamekha'ot
8699,היחידי,the only (m.s.),hayekhidi
8700,התקוות,the hopes,hatikvot
8701,הוגשו,were served,hugshu
8702,השדות,the fields,hasadot
8703,האיזון,the balance,ha'izun
8704,החקלאי,the farmer (m.s.),hakhaklai
8704,החקלאי,the agricultural (m.s.),hakhakla'i
8705,הדרושים,that are required (m.),hadrushim
8706,הרחיב,widened / broadened,hirkhiv
8707,הצעתו,his proposal / his suggestion / his offer,hatsa'ato
8708,הסמל,the symbol,hasemel
8708,הסמל,the sergeant,hasamal
8709,בתורו,in his turn,betoro
8710,בשרשרת,in the chain / with the necklace,basharsheret
8710,בשרשרת,in a chain / with/on a necklace,besharsheret
8711,בזכויות,[in] rights / [in] privileges,bizkhuyot
8711,בזכויות,[in] the rights / [in] the privileges,bazkhuyot
8712,בכוחו,within his power,bekokho
8713,בכנסייה,in a church,bikhnesiya
8713,בכנסייה,in the church / in church,baknesiya
8714,בנקודות,at points,binkudot
8714,בנקודות,at the points,banekudot
8715,רצופים,continuous (m.pl.),retsufim
8716,ציבוריות,public (f.pl.),tsiburiyot
8716,ציבוריות,public affairs,tsiburiyut
8717,נישאו,were carried / got married / were married (pl.),nis'u
8718,נצפו,were watched / were observed / were anticipated (m.s.),nitspu
8719,ממלכתית,of the state / official,mamlakhtit
8720,מוגנים,defended / protected (m.pl.),muganim
8721,משטחים,planes / surfaces / platforms,mishtakhim
8722,מקבלת,receives / accepts (f.s.),mekabelet
8723,מחיל,from the forces of,mekheil
8723,מחיל,from success,mekhail
8724,מכת,hit of / stroke of / blow of,makat
8725,מכונית,car,mekhonit
8726,מכנה,names / calls (m.s.),mekhane (v.)
8726,מכנה,denominator,mekhane (n.)
8727,יורדת,goes down / comes down / descends / decreases (f.s.),yoredet
8728,למחלות,for sicknesses / for illnesses,lemakhalot
8728,למחלות,for the sicknesses / for the illnesses,lamakhalot
8729,למחתרת,to/for an underground,lemakhteret
8729,למחתרת,to/for the underground,lamakhteret
8730,לקלוט,to intake / to receive / to grasp,liklot
8731,לפקח,to supervise / to inspect,lefake'akh
8732,לפרש,to explain / to interpret,lefaresh
8733,לאש,to fire,le'esh
8733,לאש,to the fire,la'esh
8734,להימצא,to be [at] / to be found / to be discovered / to be [at],lehimatse
8735,להשקיע,to invest,lehashki'a
8736,להפיץ,to distribute,lehafits
8737,להצית,to light / to ignite,lehatsit
8738,לדת,to/for a religion,ledat
8738,לדת,to/for the religion,ladat
8739,לטהר,to purify,letaher
8740,תיקונים,corrections / repairs,tikunim
8741,וממנו,and from him,umimenu
8742,וילדים,and children,viyladim
8743,וחומרי,and the materials of,vekhomrei
8744,והקרב,and the battle,vehakrav
8744,והקרב,and the coming / and the approaching,vehakarev
8745,ודרש,and required / and demanded / and preached (m.s.),vedarash
8746,ובמקביל,and in parallel / the simultaneously,uvemakbil
8747,וניסו,and tried (pl.),venisu
8748,שמוצאם,that/who originated from (m.pl.),shemotsa'am
8749,שמקורם,that/who originated from (m.pl.),shemekoram
8750,שיניים,teeth,shinayim
8751,שבוצעו,that were performed,shebuts'u
8752,שטען,that/who claimed / that/who argued (m.s.),sheta'an
8753,קיר,wall,kir
8754,פתחים,openings / apertures,ptakhim
8755,חירות,freedom,kherut
8756,אווירה,atmosphere / ambiance,avira
8757,חובבים,amateurs,khovevim (n.)
8757,חובבים,like (m.pl.),khovevim (v.)
8758,אכזרית,cruel (f.s.),akhzarit
8759,חרס,clay,kheres
8760,המגזין,the magazine,hamagazin
8761,התמודד,dealt with / confronted (m.s.),hitmoded
8762,התמקד,focused (m.s.),hitmaked
8763,התפרצות,outburst / eruption / revolt / outbreak,hitpartsut
8764,התאחדו,united (m.pl.),hit'akhadu
8765,התבססו,became established / settled down / were based on (pl.),hitbasesu
8766,הוכו,were beaten,huku
8767,השייך,that/which belongs / that is relevant,hashayakh
8768,הפשטה,simplification / abstraction / undressing,hafshata
8769,העמוק,the deep,ha'amok
8770,העירונית,the municipal / the urban (f.s.),ha'ironit
8771,החופשיים,the free (m.pl),hakhofshiyim
8772,החפצים,the objects,hakhafatsim
8773,ההיכל,the palace / the temple,haheykhal
8774,ההערכה,the assessment / the estimation / the appreciation / the credit,haha'arakha
8775,הגדרות,definitions,hagdarot
8775,הגדרות,the fences,hagderot
8776,הבכורה,the firstborn (f.),habekhora
8777,הבנה,understanding,havana
8778,הטמפרטורות,the temperatures,hatemperaturot
8779,דגלים,flags,dgalim
8780,דרגות,degrees / levels / grades / ranks,dargot
8781,במפקדת,in the headquarters of,bemifkedet
8782,במגזר,in a sector,bemigzar
8782,במגזר,in the sector,bamigzar
8783,ביכולת,within the power of,biyekholet
8784,ביצירות,in the formations / in the creations / in the works of art / in the compositions,biyetsirot
8784,ביצירות,in works of art / in the compositions,bayetsirot
8785,בקוטר,[at] a diameter of,bekoter
8785,בקוטר,[at] the diameter,bakoter
8786,בפוליטיקה,in politics,bapolitica
8787,באוקיינוס,in the ocean,ba'okyanus
8787,באוקיינוס,in an ocean,be'okyanus
8788,בנמצא,around here,banimtsa
8789,טכניים,technical,tekhniyim
8790,צפויים,expected / anticipated (m.pl.),tsfuyim
8791,צפו,watched / observed / anticipated (pl.),tsafu
8792,סגנונות,styles,signonot
8793,נמשכת,lasts / is pulled / is attracted / is withdrawn (f.s.),nimshekhet
8794,נולדו,were born,noldu
8795,נשדדו,were robbed,nishdedu
8796,נקבעו,were determined / were fixed / was set,nikbe'u
8797,נסיגת,withdrawal of / retreat of,nesigat
8798,מיקוש,mine laying,mikush
8799,מוזכרת,mentioned (f.s.),muzkeret
8800,לשדרות,to the boulevards,lasderot
8800,לשדרות,to boulevards / to the boulevard of,lesderot
8801,לשדרה,to the boulevard,lasdera
8801,לשדרה,to a boulevard,lesdera
8802,והסוכנות,and the agency / and the [Jewish] Agency,vehasokhnut
8803,חימר,clay,khemar
8804,כרוז,announcer / manifest,karoz
8805,המשלוחים,the shipments / the deliveries,hamishlokhim
8806,הפיקודיות,the command [chain],hapikudiyut
8807,החרות,the freedom,hakherut
8808,החרדי,the ultra-orthodox (m.s.),hakharedi
8809,הכשרת,the training of / the qualification of,hakhsharat
8810,הבולשת,the secret police,haboleshet (n.)
8810,הבולשת,that/who spies (f.s.),haboleshet (v.)
8811,הבנקאית,the banker (f.),habanka'it
8811,הבנקאית,the banker / the bank,habanka'it (adj.)
8812,במצוק,[on] a cliff,bematsok
8812,במצוק,[on] the cliff,bamatsok
8813,בריקדות,barricades,barikadot
8814,מפקדה,headquarters,mifkada
8815,יבנה,will build (m.s.),yivne
8816,ותפקידים,and roles / and duties / and capacities,vetafkidim
8817,קרקעות,soils / grounds / lands,karka'ot
8818,עמנו,our people,amenu
8818,עמנו,with us,imanu
8819,העצמאי,the independent (m.s.),ha'atsma'i
8820,הברונזה,the bronze,habronza
8821,שרד,survived (m.s.),sarad
8822,המובילות,the leaders / the transporters (f.),hamovilot (n.)
8822,המובילות,that/who lead / that/who transport (f.pl.),hamovilot (v.)
8823,הניקוז,the drainage,hanikuz
8824,ביוזמת,initiated by,beyozmat
8825,בבקעת,in the valley of,bevik'at
8826,ברובו,most of it,berubo
8827,מגוונים,various / diverse (m.pl.),meguvanim
8828,לקיומו,to/for his/its existence / to/for its holding / to/for its fulfillment,lekiyumo
8829,לסילוק,for the removal [of] / for the dismissal [of],lesiluk
8830,תיעוד,documentation,ti'ud
8831,תצורת,configuration of / formation of,tetsurat
8832,ולפעמים,and sometimes,velif'amim
8833,שמם,their name,shmam
8834,שבאותה,that in the same / that at the same (f.s.),shebe'ota
8835,קדושתו,his holiness,kdushato
8836,אופני,ways of / wheels of / bicycle of,ofanei
8837,חריפים,hot (taste) / severe (m.pl.),kharifim
8838,כפופה,bowed / bent / subordinate (f.s.),kfufa
8839,כהלכה,properly,kahalakha
8840,המקוריים,the original (m.pl.),hamekoriyim
8841,הקומות,the floors,hakomot
8842,הדתות,the religions,hadatot
8843,הבודדים,the lonely / the single / the few (m.pl.),habodedim
8844,ספורות,are counted / few (f.pl.),sfurot
8844,ספורות,spores,sporot
8845,ניטעו,were planted,nit'u
8846,משמעותו,its meaning / means (m.s.),mashma'uto
8847,מרכזיות,centrality,merkaziyut
8847,מרכזיות,central (f.pl.),merkaziyot
8848,מסודרות,organized / arranged (f.pl.),mesudarot
8849,ליחידת,to/for the unit of,likhidat
8850,לקורא,to/for the reader,lakore
8851,לחקלאות,to/for agriculture,lekhakla'ut
8851,לחקלאות,to/for the agriculture,lakhakla'ut
8852,לכוון,to direct / to adjust / to tune,lekhaven
8853,ותנאי,and a condition / and a provision,utnai
8853,ותנאי,and the conditions of / and the provisions of,vetna'ei
8854,זוכים,winners (m.pl.),zokhim (n.)
8854,זוכים,win (m.pl.),zokhim (v.)
8855,כד,jug / jar,kad
8856,המיוחדות,the special (f.pl.),hameyukhadot
8857,המשלבים,that/who combine,hameshalvim
8858,המשקעים,the precipitate / the sediment,hamishka'im
8859,המדויק,the precise / the accurate,hameduyak
8860,התרחבות,widening / broadening,hitrakhavut
8861,הקשיים,the difficulties,hakshayim
8862,הקרן,the beam / the ray / the fund / the horn / the bugle,hakeren
8863,הפריחה,the flowering / the blossom / the prosperity / the rash,haprikha
8864,ההגירה,the immigration,hahagira
8865,ביחידה,at a unit / in a squad,biyekhida
8865,ביחידה,at the unit / in the squad,bayekhida
8866,באמצעי,by means of,be'emtsa'ei
8866,באמצעי,in the middlemost,ba'emtsa'i
8867,רקטות,rockets,raketot
8868,רכשה,acquired / bought (f.s.),rakhsha
8869,נוכח,is present / realized (m.s.),nokhakh
8869,נוכח,in the presence of / in front of,nokhakh
8870,נשמרת,is kept / is guarded / is protected (f.s.),nishmeret
8871,מתלמידיו,from his students,mitalmidav
8872,מפעלים,plants / factories,mif'alim
8873,מגוונות,various / diverse (f.pl.),meguvanot
8874,מצויות,that are [at] / the common / the available (f.pl.),metsuyot
8875,ייחודיות,unique (f.pl.),yikhudiyot
8876,לשיטות,to/for the methods,lashitot
8876,לשיטות,to/for methods,leshitot
8877,לשווק,to market,leshavek
8878,להסתיר,to hide,lehastir
8879,לבסיס,to/for a basis,levasis
8879,לבסיס,to/for the basis,labasis
8880,וספרות,and literature,vesifrut
8880,וספרות,and hairdressing,vesaparut
8881,שודרה,was broadcasted (f.s.),shudra
8882,שקיימת,that exist (f.s.),shekayemet
8883,שפתם,their language / their edge / their lip,sfatam
8884,שחי,that/who lives / that/who lived (m.s.),shekhai
8884,שחי,arm pit,shekhi
8885,קיומן,their existence / their survival / their holding / their fulfillment (f.pl.),kiyuman
8886,חיטה,wheat,khita
8887,חלוקה,division / distribution,khaluka
8888,המטבחים,the kitchens,hamitbakhim
8889,המצביעים,the voters,hamatsbi'im
8890,הייצור,the production,hayitsur
8891,השייכת,that/who belongs to / that is relevant to (f.m.),hashayekhet
8892,השלמה,completion / acceptance,hashlama
8893,הקליטה,the intake / the receptivity / the reception / the grasp,haklita
8894,הקבלה,the acceptance / the admission / the reception / the receipt / the Kabalah,hakabala
8894,הקבלה,parallelism,hakbala
8895,הזמין,invited / ordered (m.s.),hizmin
8896,הנדרשים,the required / that/who are required (m.pl.),hanidrashim
8897,גרסתו,his version,girsato
8898,במלון,at/in a hotel,bemalon
8898,במלון,at/in the hotel,bamalon
8899,במשחקי,in the games of,bemiskhakei
8899,במשחקי,in my game / in mt acting,bemiskhaki
8900,בשינויים,with/in the changes,bashinuyim
8900,בשינויים,with/in changes,beshinuyim
8901,טיפולים,treatments,tipulim
8902,רחבת,the square of / the area of,rakhavat
8903,ספריות,libraries,sifriyot
8904,סביבתיים,environmental,svivatiyim
8905,ההון,the capital / the wealth,hahon
8906,ליבה,core,liba
8907,אישיותו,his personality,ishiyuto
8908,תרומות,donations / contributions,trumot
8909,במאמרו,in his article,be'ma'amaro
8910,פילוסופית,philosophical,filosofit
8911,רעם,thunder,ra'am
8911,רעם,roared / thundered,ra'am
8912,מקיפה,surrounds / encircles / comprehensive (f.s.),mekifa
8913,מאפיין,characteristic,me'afyen
8914,מסכת,chapter / tractate (Thalmud),masekhet
8914,מסכת,stethoscope,masket
8915,ילדותו,his childhood,yalduto
8916,להתחרות,to compete,lehitkharot
8917,תרבותי,civilized / cultural / cultivated,tarbuti
8918,העלאת,raising of / increase of / bringing up the,ha'ala'at
8919,הניתנת,that is possible / that is given (f.s.),hanitenet
8920,בקביעות,regularly / constantly / permanently,bikvi'ut
8921,בסיסיים,basic (m.pl.),bsisiyim
8922,ממד,dimension,memad
8923,מתמקדת,focuses (f.s.),mitmakedet
8924,מספרו,his number,misparo
8924,מספרו,from his book,mesifro
8925,לארמון,to/for a palace,le'armon
8925,לארמון,to/for the palace,la'armon
8926,לניתוח,to/for surgery / to/for analysis,lenitu'akh
8926,לניתוח,to/for the surgery / to/for the analysis,lanitu'akh
8927,תכונה,character / attribute / commotion,tkhuna
8928,וזכו,and won (pl.),vezakhu
8929,והדרך,and the way,vehaderekh
8930,קרובה,close / relative (f.s.),karova
8931,התומכת,the supporting / that/who supports (f.s.),hatomekhet
8932,האלו,these,ha'elu
8933,הכותבים,the writers / the authors,hakotvim
8934,הבעיות,the problems,habe'ayot
8935,בנוף,in a view / in a landscape / in boughs of a tree,benof
8935,בנוף,in the view / in the landscape / in the boughs of a tree,banof
8936,רווחת,the welfare of,ravkhat
8936,רווחת,widespread,rovakhat
8937,נובעות,stems from / derived from / spout (f.pl.),nov'ot
8938,שייטי,the rowers of,shayatei
8939,קולנועית,cinematic,kolno'it
8940,פרקי,chapters of / joints of,pirkei
8941,עיצורים,consonants,itsurim
8942,אמנותיות,artistic (f.pl.),omanutiyot
8943,חיבורים,connections / links / linkages / joining / joints / junctions,khiburim
8944,אלבומי,my album,albomi
8944,אלבומי,my albums,albomai
8944,אלבומי,the albums of,albomei
8945,אלבומה,her album,alboma
8946,המתמטיות,the mathematical (f.pl.),hamatematiyot
8947,הווה,present,hove
8948,הקאנו,we vomited,hekenu
8949,האמנותית,the artistic (f.s.),ha'omanutit
8950,החלום,the dream,hakhalom
8951,האפל,the dark,ha'afel
8952,הכתיב,the spelling,haktiv
8952,הכתיב,dictated (m.s.),hikhtiv
8953,הצילומים,the photographs,hatsilumim
8954,הנאמר,the said,hane'emar
8955,ביים,directed,biyem
8956,משבט,from the tribe of,mishevet
8957,ידידו,his friend,yedido
8958,לימד,taught,limed
8959,קריאתו,his call,kri'ato
8960,הצפייה,the watching / the observation,hatsfiya
8961,סמליות,symbolism,simliyut
8962,ספרותית,literary,safrutit
8963,מתפתח,developing,mitpate'akh
8964,מחיה,subsistence / livelihood,mikhya
8965,לגישה,to an attitude / for an access / to an approach,legisha
8965,לגישה,to the attitude / for the access / to the approach,lagisha
8966,המלחין,the compositor / the composer,hamalkhin
8967,הפיזיקאי,the physicist,hafizikai
8968,ההשפעות,the effects,hahashpa'ot
8969,בעובדה,[in] a fact,be'uvda
8969,בעובדה,[in] the fact,ba'uvda
8970,מייצר,produces (m.s.),meyatser
8971,ללמד,to teach,lelamed
8972,לצורת,into a shape of / to a shape of,letsurat
8973,התחומים,the fields / the areas / the ranges,hatkhumim
8974,בעלילה,in a plot / [in] a deed / [in] a libel / [in] a false charge,be'alila
8974,בעלילה,in the plot / [in] the deed / [in] the libel / [in] the false charge,ba'alila
8975,טוענת,claims / argues / charges / loads (f.s.),to'enet
8976,מקיימים,hold / fulfill / carry out / maintain (m.pl.),mekaymim
8977,מפיקים,producers,mefikim (n.)
8977,מפיקים,produce (m.pl.),mefikim (v.)
8978,ובמקרים,and in cases,uvemikrim
8979,התהליכים,the processes,hatahalikhim
8980,העיתונאים,the journalists,ha'itona'im
8981,העובר,that passes / that transfers (m.s.),ha'over
8981,העובר,the embryo / the fetus,ha'ubar
8982,מאקליפטוס,from a Eucalyptus,me'ekaliptus
8983,מהסביבה,from the area / from the enviroonment,mehasviva
8984,לחמצן,to oxidize,lekhamtsen
8985,פריה,its fruit,pirya
8986,חמצון,oxidation,khimtsun
8987,אגרוף,fist,egrof
8987,אגרוף,boxing,igruf
8988,המשימות,the tasks / the assignments / the missions,hamesimot
8989,המגוון,the variety / the diversity,hamigvan
8989,המגוון,the varied / the diverse,hameguvan
8990,המבחנה,the test tube,hamavkhena
8991,הפטיש,the hammer,hapatish
8992,הפרישה,the secession / the retirement,haprisha
8992,הפרישה,the spreading / the stretching,haprisa
8993,הפרוזאית,the prosaic,haprozait
8994,הנשר,the vulture,hanesher
8995,בחלבון,in protein,bekhelbon
8995,בחלבון,in the protein,bakhelbon
8996,בחומצות,in acids,bekhumtsot
8997,נוקמת,takes revenge (f.s.),nokemet
8998,מקצה,from an end,mikatse
8998,מקצה,heat (sport),miktse
8999,יוטה,jute,yuta
9000,שולח,sends (m.s.),shole'akh
9001,הישגיו,his achievements,hesegav
9002,גדילים,fringes,gdilim
9003,סנטימטר,centimeter,sentimeter
9004,יוצרות,creators / artists / makers (f.),yotsrot
9005,שינויי,changes of,shinuyei
9006,החיסונית,the immune,hakhisunit
9007,נוזלי,liquid,nozli
9008,שרירי,muscles of,shrirei
9008,שרירי,my muscles,shrirai
9009,באטמוספירה,in the atmosphere,ba'atmosfera
9010,לאסטרוגן,to/for estrogen,le'estrogen
9011,אכילת,eating of,akhilat
9012,האצות,the seaweed,ha'atsot
9013,הבוהן,the thumb / the big toe,habohen
9014,באלמוגים,in the corals,ba'almogim
9014,באלמוגים,in corals,be'almogim
9015,למטבח,to/for a kitchen,lemitbakh
9015,למטבח,to/for the kitchen,lamitbakh
9016,פירמידות,pyramids,piramidot
9017,מדברת,speaks / talks (f.s.),medaberet
9018,למשטרה,to the police,lamishtara
9019,לאכל,to eat,le'ekhol
9019,לאכל,to corrode,le'akel
9020,פת,piece of bread / bread,pat
9021,אוכלת,eating (f.s.),okhelet
9022,האישום,the indictment / the accusation,ha'ishum
9023,הגעתי,I arrived,higati
9023,הגעתי,my arrival,haga'ati
9024,בעצב,sadly / with sorrow / [in] a nerve,be'etsev
9024,בעצב,[in] the sadness / [in] the nerve,ba'etsev
9025,בחשכה,in the dark,bakhashekha
9026,נאים,handsome / nice (m.pl.),na'im
9027,נחוץ,is needed / is required,nakhuts
9028,מבינה,understands (f.s.),mevina
9029,לחורף,for a winter,lekhoref
9029,לחורף,for the winter,lakhoref
9030,לכאן,[to] here,lekhan
9031,תמצא,you will find (m.s.) / she will find,timtsa
9031,תמצא,will be found (f.s.),timatse
9032,ופעם,and once / and at one time,ufa'am
9033,והלכה,and walked / and went (f.s.),vehalkha
9033,והלכה,and the Jewish law,vehalakha
9034,שאון,noise,sha'on
9035,שאפילו,that even / that although,she'afilu
9036,שהכל,that everything,shehakol
9037,עליכם,on you / about you (m.pl.),aleykhem
9038,זקוף,erect / upright,zakuf
9039,אכל,ate (m.s.),akhal
9040,החלונות,the windows,hakhalonot
9041,דשא,grass,deshe
9042,בהכנעה,humbly / submissively,behakhna'a
9043,נברא,created,nivra
9044,מלאו,were filled / were completed,mal'u
9045,מוסיף,adds (m.s.),mosif
9046,מחפשת,searches (f.s.),mekhapeset
9047,למרבה,to the great,lemarbe
9048,לתלות,to hang / to suspend,litlot
9049,להרים,to lift,leharim
9050,להסב,to modify / to sit at ease / to endorse,lehasev
9051,תבוא,you will come (m.s.) / she will come,tavo
9052,וחזק,and strong / and strongly,vekhazak
9053,וחזרו,and returned / and repeated (pl.),vekhzru
9054,וטוב,and good,vetov
9055,וסיפר,and told (m.s.) / and cut (hair),vesiper
9056,ונשא,and carried / and married (m.s.),venasa
9057,שרצו,that/who wanted (pl.) / that they wanted,sheratsu
9058,פרות,cows,parot
9059,פסגת,top / peak / summit,pisgat
9060,עוררו,woke / have excited (pl.),oreru
9061,זריחת,the shine of,zrikhat
9062,חרוץ,diligent,kharuts
9063,כרגיל,as usual,keragil
9064,התקרה,the ceiling,hatikra
9065,הפתעה,surprise,hafta'a
9066,ההליכה,the walk,hahalikha
9067,ההקלות,the alleviations,hahakalot
9068,הרגילה,the usual (f.s.),haregila
9069,הסתיו,the autumn,hastav
9070,גנב,thief (m.s.),ganav (n.)
9070,גנב,stole (m.s.),ganav (v.)
9071,בבקר,in the morning,baboker
9071,בבקר,in cattle,bebakar
9072,רשע,mean / evil,rasha (adj.)
9072,רשע,evil,resha (n.)
9073,נמכרים,are sold,nimkarim
9074,נשמעה,sounded (f.s.),nishme'a
9075,נסעו,drove / traveled (pl.),nas'u
9076,מהלכים,moves / steps / distances,mahalakhim
9077,ימשיך,will continue (m.s.),yamshikh
9078,יישארו,will stay / will remain / will be left (pl.),yisha'aru
9079,למשרד,to/for an office / to/for a bureau / to/for a Ministry,lemisrad
9079,למשרד,to/for the office / to/for the bureau / to/for the Ministry,lamisrad
9080,לקול,to/for a voice / to the sound of,lekol
9081,להימשך,to continue / to be pulled / to be attracted,lehimashekh
9082,להתחבא,to hide,lehitkhabe
9083,להשאיר,to leave,lehash'ir
9084,לסיומו,to its end,lesiyumo
9085,תישאר,she will stay / you will stay (m.s.),tisha'er
9086,ושמן,and fat (adj.) (m.s.),veshamen
9086,ושמן,and their name (f.pl.),ushman
9087,והלך,and walked / and went (m.s.),vehalakh
9088,וביום,and on [day],uveyom
9089,ובדרך,and on the way,uvaderekh
9089,ובדרך,and in a way,uvederekh
9090,שיבח,praised (m.s.),shibe'akh
9091,שלוחות,branches / extensions,shlukhot
9092,שחורות,black (f.pl.),skhorot
9093,שחשבו,that thought (pl.),shekhashvu
9094,קברים,graves,kvarim
9095,עני,answer (f.s. imperative),ani
9096,חותם,seal,khotam
9097,אוכלים,eating (m.pl.),okhlim
9098,חגיגיים,festive (m.pl.),khagigiyim
9099,כפוף,bowed / bent / subordinate (m.s.),kafuf
9100,הוסר,was removed,husar
9101,הקיצוני,the extreme / the extremist / the radical (m.s.),hakitsoni
9102,הקרובות,the close / the relatives (f.pl.),hakrovot
9103,העיניים,the eyes,ha'eynayim
9104,הכרחי,necessary,hekhrekhi
9105,הגה,steering wheel / sound / word,hege
9105,הגה,thought / meditated / pronounced (m.s.),haga
9106,הצעדים,the steps,hatse'adim
9107,הסתייגויות,reservations,histayguyot
9108,דיברה,spoke / talked (f.s.),dibra
9109,בחיפוש,in search,bekhipus
9109,בחיפוש,in the search,bakhipus
9110,באיזו,in which / in what (f.),be'eizo
9111,בכדורסל,in basketball,bekadursal
9112,בהנחה,under the assumption / on sale,behanakha
9113,ברצינות,seriously,birtsinut
9114,רכה,soft (f.s.),raka
9115,צריכות,need (f.pl.),tsrikhot
9116,סוחר,merchant / dealer / seller,sokher
9117,נוגע,touches (m.s.),noge'a
9118,נוראה,awful / terrible (f.s.),nora'a
9119,מלווים,escorts,melavim (n.)
9119,מלווים,escort (m.pl.),melavim (v.)
9119,מלווים,creditors,malvim
9120,מודעת,aware (f.s.),muda'at
9121,משתמשת,uses / user (f.s.),mishtameshet
9122,משתה,party / feast,mishte
9123,מקומם,their place,mekomam
9123,מקומם,causes to rebel,mekomem
9124,מקווה,hopes (m.s.),mekave
9124,מקווה,mikveh,mikve
9125,מפואר,luxurious,mefo'ar
9126,מעמדם,their position / their status / their class,ma'amadam
9127,מאותם,from the same (m.pl.),me'otam
9128,מאנשים,from people,me'anashim
9129,מכיכר,from a square,mikikar
9130,מכדי,more than required,mikdei
9131,מהמין,from the kind / from the species / from the gender / from the sex,mehamin
9132,מבקשים,ask / request / want (m.pl.),mevakshim
9133,מרפא,cure,marpe
9133,מרפא,cures (m.s.),merape
9134,ימית,marine (f.s.),yamit (adj.)
9135,יחסיו,his relations,yakhasav
9136,ירדה,went down / came down / descended / decreased (f.s.),yarda
9137,למשטר,to/for a regime / to/for a reign,lemishtar
9137,למשטר,to/for the regime / to/for the reign,lamishtar
9138,למענה,for her,lema'ana
9139,למטרת,for the goal of,lematrat
9140,לקשור,to tie / to bond / to link,likshor
9141,לפיהם,according to them,lefihem
9142,לפגיעה,to/for a hit / to/for an impact / to/for a damage / to/for an offense,lepgi'a
9142,לפגיעה,to/for the hit / to/for the impact / to/for the damage / to/for the offense,lapgi'a
9143,לחקות,to mimic,lekhakot
9144,לאגור,to collect / to accumulate,le'egor
9145,לכתבי,to the works of (books),lakhitvei
9146,להשוות,to compare,lehashvot
9147,להפיל,to drop / to have an abortion,lehapil
9148,להפך,vice versa,lehefekh
9149,להפליג,to sail,lehaflig
9150,להפחית,to reduce,lehafkhit
9151,לבל,lest,leval
9152,לרשת,to the net / to inherit,lareshet
9153,לציית,to obey,letsayet
9154,לסתום,to block / to plug,listom
9155,לנמל,to a harbor,lenamal
9155,לנמל,to the harbor,lanamal
9156,תמיכתו,his support,tmikhato
9157,תשובות,answers / replies / returns / repentance,tshuvot
9158,תעלות,channels / canals / trenches,te'alot
9159,תכשירים,preparation,takhshir
9160,ויכול,and can (m.s.),veyakhol
9161,ולהפוך,and to invert / and to convert / and to turn / and to become / and to transform,velahafokh
9162,וכעבור,and after [time period],veka'avor
9163,ובמקום,and instead / and in place of,uvimkom
9163,ובמקום,and at /in the place,uvamakom
9164,שמחו,were glad / were happy,samkhu
9165,שילם,paid (m.s.),shilem
9166,שתו,drank (pl.),shatu
9167,שושנת,rose of,shoshanat
9168,שקרים,lies,shkarim
9169,שעורר,the/who woke / that/who has excited,she'orer
9170,שגוי,erroneous / wrong / incorrect,shagui
9171,שבמשך,that for a duration of,shebemeshekh
9172,שבמקרה,that in case / that accidentally,shebemikre
9173,שבתוכו,that is inside him/it,shebetokho
9174,שרוב,which most,sherov
9175,שנשאו,that/who carried / who married (pl.),shenas'u
9176,קווים,lines,kavim
9177,פותחה,was developed,putkha
9178,פוגעים,hit / damage / offensive (m.pl.),pog'im
9179,עוינים,hostile,oyenim
9180,עורכי,editors of / arrangers of (m.pl.),orkhei
9181,ערבה,pleasant,areva (adj.)
9181,ערבה,surety (f.s.),areva (n.)
9181,ערבה,was pleasant,arva
9182,אמיתיים,real (m.pl.),amitiyim
9183,אויבים,enemies,oyvim
9184,זווית,angle / corner,zavit
9185,חוש,sense,khush
9186,חוט,wire,khut
9187,חשדות,suspicions,khashadot
9188,זרמו,flew (pl.),zarmu
9189,אנטישמיות,Antisemitism,antishemiyut
9190,כיסוי,cover,kisui
9191,כשלו,failed (pl.),kashlu
9192,כאבי,pains of,ke'evei
9193,כספי,financial / monetary / my money,kaspi
9194,המהיר,the fast / the rapid / the quick (m.s.),hamahir
9195,הימין,the right,hayamin
